OBJECTID_1,AREA,PERIMETER,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Leng,cty_name,mnf_code,descriptio,Shape_Length,Shape_Area
28177,6444.32336473,321.090245539,WV602,2.0,ChC,513987,321.090137949,NRand_Tuck,ChC09,"CATEACHE CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",321.09013794914046,6444.322048458949
28186,11637.9490421,724.835332719,WV602,2.0,DaF,514000,724.835410502,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",724.8354105015379,11637.949214599865
28190,2338.80722337,191.879187346,WV602,2.0,ChC,513987,191.879197136,NRand_Tuck,ChC09,"CATEACHE CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",191.87919713575496,2338.8072433539255
28193,2757.9286387,228.157182079,WV602,2.0,ChE,513989,228.157169287,NRand_Tuck,ChE09,"CATEACHE CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",228.66436882495898,2734.803455279577
28195,7363.26976111,348.735240443,WV602,2.0,DaC,513997,348.735173599,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",348.7351735990363,7363.269161971524
28196,16061.9950598,646.688110133,WV602,2.0,CaD,513981,646.688177168,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",646.6881771679886,16061.988510874198
28211,122482.66464,1850.50675015,WV602,2.0,BnF,513971,1850.50654467,NRand_Tuck,BnF09,"BELMONT CHANNERY SILT LOAM, 35 TO 70 PERCENT SLOPES, VERY STONY",1850.506544674801,122482.65996943552
28212,8011.73931202,420.166848575,WV602,2.0,CaD,513981,420.166905313,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",420.1669053134307,8011.736834051139
28223,42444.0205111,1294.97905223,WV602,2.0,ChE,513989,1294.97900263,NRand_Tuck,ChE09,"CATEACHE CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",627.5082657097382,20305.316917646123
28230,10288.2654581,406.591297258,WV602,2.0,CxB,513994,406.59133876,NRand_Tuck,CxB09,"COOKPORT SILT LOAM, 3 TO 8 PERCENT SLOPES",406.59133876023725,10288.266453902706
28247,145110.304885,6783.55405346,WV602,2.0,Fu,513957,6783.55412118,NRand_Tuck,Fu09,FLUVAQUENTS-UDIFLUVENTS COMPLEX,6783.554121184958,145110.32066485108
28248,22793.4407685,975.958149698,WV602,2.0,DaC,513997,975.958070088,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",975.9580700880352,22793.44600828479
28257,36935.6460319,841.50627199,WV602,2.0,CaD,513981,841.506144004,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",841.506144004058,36935.64584956593
28259,32446.4955825,2225.34448391,WV602,2.0,DaF,514000,2225.34427313,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",2225.3442731345717,32446.483930243445
28262,812809.895841,11259.3861006,WV602,2.0,GcE,514016,11259.3862481,NRand_Tuck,GcE09,"GILPIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",4936.428953999084,205387.3754793997
28266,35479.647608,1990.02863672,WV602,2.0,DmF,514005,1990.02880056,NRand_Tuck,DmF09,"DEKALB VERY COBBLY LOAM, 35 TO 70 PERCENT SLOPES, RUBBLY",1990.0288005642299,35479.65197575817
28269,14255.6868052,738.950909024,WV602,2.0,CaE,513983,738.950810292,NRand_Tuck,CaE09,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",738.9508102915746,14255.68637044383
28270,111984.262215,1596.34985383,WV602,2.0,ChD,513988,1596.34977914,NRand_Tuck,ChD09,"CATEACHE CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",328.0252610538323,2274.4579624306816
28274,55402.5991172,2712.93349017,WV602,2.0,CaD,513981,2712.93361668,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",2712.9336166794965,55402.6166940818
28281,10030.5335929,385.414656345,WV602,2.0,DaC,513997,385.414722378,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",385.414722377832,10030.534093273718
28283,17727.4314605,633.153874963,WV602,2.0,ChB,1673048,633.154051587,NRand_Tuck,ChB09,"CATEACHE CHANNERY SILT LOAM, 3 TO 8 PERCENT SLOPES",500.44979302273646,7142.048427337258
28288,8374.19304986,332.042824252,WV602,2.0,CaC,513979,332.042828802,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",332.0428288021396,8374.19507560073
28301,4666.82999302,396.882356444,WV602,2.0,W,514054,396.882470485,NRand_Tuck,W09,WATER,396.8824704847511,4666.831686217235
28302,317717.322898,6305.76334746,WV602,2.0,CaD,513981,6305.76345065,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",6305.763450653909,317717.3276772301
28304,7139.10970521,470.075177178,WV602,2.0,DaD,513998,470.075222117,NRand_Tuck,DaD09,"DEKALB CHANNERY LOAM, 15 TO 25 PERCENT SLOPES",470.0752221173284,7139.115871532013
28309,43236.7684601,1465.48559403,WV602,2.0,BmD,513966,1465.48526296,NRand_Tuck,BmD09,"BELMONT SILT LOAM, 15 TO 25 PERCENT SLOPES",1465.4852629637028,43236.76879346884
28315,16214.8493625,482.520778966,WV602,2.0,DaB,513996,482.520745611,NRand_Tuck,DaB09,"DEKALB CHANNERY LOAM, 3 TO 8 PERCENT SLOPES",482.52074561065666,16214.851553084225
28321,29439.2445963,877.325660479,WV602,2.0,DaB,513996,877.32571713,NRand_Tuck,DaB09,"DEKALB CHANNERY LOAM, 3 TO 8 PERCENT SLOPES",877.3257171298944,29439.24987076288
28325,11106.5107808,516.070426035,WV602,2.0,DkB,514001,516.070447806,NRand_Tuck,DkB09,"DEKALB LOAM, 3 TO 8 PERCENT SLOPES",516.0704478060283,11106.50945015123
28326,106760.632643,2770.78341676,WV602,2.0,DaD,513998,2770.78344432,NRand_Tuck,DaD09,"DEKALB CHANNERY LOAM, 15 TO 25 PERCENT SLOPES",2770.783444317812,106760.63026298945
28327,66176.4432652,2677.65958144,WV602,2.0,DaF,514000,2677.6596131,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",1408.1955484186083,34357.79707139405
28328,5380.12061484,274.731621596,WV602,2.0,CaC,513979,274.731569389,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",274.731569388909,5380.119468944385
28329,11058.5718924,639.606763098,WV602,2.0,DaB,513996,639.606738841,NRand_Tuck,DaB09,"DEKALB CHANNERY LOAM, 3 TO 8 PERCENT SLOPES",639.6067388409846,11058.571955080446
28330,67339.4313978,1128.50413219,WV602,2.0,BmE,513967,1128.50417639,NRand_Tuck,BmE09,"BELMONT SILT LOAM, 25 TO 35 PERCENT SLOPES",1128.5041763888714,67339.44040048405
28335,107525.35824,1665.54271698,WV602,2.0,DaC,513997,1665.54266367,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",1044.9993003922605,12940.061966339237
28338,128786.880346,2239.32273508,WV602,2.0,DaD,513998,2239.32289838,NRand_Tuck,DaD09,"DEKALB CHANNERY LOAM, 15 TO 25 PERCENT SLOPES",2220.2104232348693,125190.40350012845
