AREA,PERIMETER,SURF_GEO_T,A1,A2,A3,A4,A5,SURF_GEO_G,Shape_Length,Shape_Area
3933.699951171875,316.72198486328125,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,316.72245294945606,3933.703125
5172.39013671875,417.4309997558594,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,417.43117833666327,5172.390625
5473.52001953125,427.8389892578125,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,427.83890339239986,5473.515625
20.9375,24.408899307250977,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,24.408938014867772,20.9375
7059.31005859375,395.010986328125,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,395.01060661390164,7059.3125
73991.796875,1545.010009765625,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,1545.0105525480008,73991.8125
4302.830078125,434.1340026855469,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,434.13440499978367,4302.828125
99122.3984375,1918.1199951171875,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,1918.116460089541,99122.4375
1506.050048828125,503.9490051269531,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,503.9486401588403,1506.046875
3893.590087890625,310.4630126953125,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,310.462646275014,3893.59375
428.875,139.89300537109375,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,139.8931081397613,428.875
290.4219970703125,111.69100189208984,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,111.69075520973325,290.421875
15.578100204467773,21.469499588012695,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,21.469460892621928,15.578125
