source_sample_id,watershed,soil_subcomp,soil_plot,depth,depth_code,frac_soil_wt_g,LF_g,POM_g,MAOM_g,total_frac_g,LF_C_perc,LF_N_perc,POM_C_perc,POM_N_perc,MAOM_C_perc,MAOM_N_perc,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC_hPOC,MAOC_tot_POC,treatment,composite_note
67,WS2,WS2a,12,0 to 20,0-20,5.7078,0.1215,2.5259,3.0353,5.6827000000000005,40.72,0.8,3.41,0.22,5.0,0.39,0.008035837341087985,0.00015787499687795647,0.0139899970188667,0.0009025804528301098,0.024650101750188336,0.0019227079365146903,1607.167468217597,31.574999375591297,2797.99940377334,180.51609056602194,4930.020350037667,384.54158730293807,4405.166871990937,1.761980486267837,1.1191449707351315,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
68,WS2,WS2a,12,20 to 40,20-40,5.7513,0.0429,2.187,3.6407,5.8706,40.32,1.04,0.18,0.01,1.08,0.09,0.0030293152933546716,7.81371008206562e-05,0.0006894264638035574,3.830147021130875e-05,0.0068861314863363846,0.000573844290528032,605.8630586709344,15.627420164131237,137.88529276071148,7.66029404226175,1377.226297267277,114.7688581056064,743.7483514316459,9.988203017832651,1.8517369411525355,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
73,WS4,WS4a,13,0 to 20,0-20,5.5328,0.1215,2.9388,2.5671,5.6274,37.83,1.0,0.24,0.02,1.28,0.1,0.004215979781307448,0.00011144540791190719,0.0006469447205363216,5.391206004469347e-05,0.003013968135908155,0.00023546626061782461,843.1959562614896,22.289081582381435,129.3889441072643,10.782412008938692,602.793627181631,47.09325212356492,972.584900368754,4.658772288008711,0.6197850973761599,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
74,WS4,WS4a,13,20 to 40,20-40,5.9044,0.0367,2.1848,3.7056,5.9271,43.24,0.86,0.3,0.02,1.02,0.08,0.002183630063640574,4.3430200155663585e-05,0.0009019038841020257,6.012692560680171e-05,0.005200990073213469,0.00040792079005595836,436.72601272811477,8.686040031132716,180.38077682040512,12.02538512136034,1040.198014642694,81.58415801119168,617.1067895485198,5.766678872207985,1.6856045537980728,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
79,WS4,WS4a,14,0 to 20,0-20,5.6524,0.047,2.2022,3.6291,5.8783,35.23,0.94,1.23,0.07,3.83,0.35,0.0018010909580528976,4.8056358233599884e-05,0.0029463681730534496,0.00016767948952336708,0.01511899258983895,0.0013816311766171362,360.21819161057954,9.611271646719977,589.2736346106899,33.53589790467341,3023.7985179677894,276.3262353234273,949.4918262212694,5.131399642486118,3.184649340270491,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
80,WS4,WS4a,14,20 to 40,20-40,5.4956,0.0442,2.2513,3.3303,5.6258,39.3,0.7,0.44,0.03,1.69,0.16,0.003014376423693501,5.369118311922266e-05,0.001718971643334668,0.00011720261204554553,0.009766809717837452,0.0009246683756532501,602.8752847387002,10.738236623844532,343.79432866693367,23.440522409109107,1953.3619435674905,184.93367513065,946.6696134056339,5.681774772555653,2.0634040809024086,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
85,WS4,WS4a,15,0 to 20,0-20,5.7856,0.0775,3.2534,2.4923,5.8232,35.3,1.17,3.45,0.21,3.71,0.33,0.0035171532986574424,0.00011657420281669143,0.014430169997035487,0.0008783581737325947,0.011887461327520804,0.0010573752663293437,703.4306597314884,23.314840563338283,2886.0339994070973,175.67163474651895,2377.492265504161,211.47505326586872,3589.464659138586,0.8237921888628441,0.6623528830270532,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
86,WS4,WS4a,15,20 to 40,20-40,5.636,0.037,2.8161,2.8236,5.6767,37.77,0.9,0.57,0.04,1.74,0.15,0.0015436475925825052,3.6782706733498934e-05,0.00177305570109182,0.00012442496148012773,0.0054269006689162515,0.00046783626456174584,308.72951851650106,7.356541346699786,354.611140218364,24.884992296025548,1085.3801337832504,93.56725291234918,663.3406587348651,3.0607615234955396,1.6362333885176077,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
91,WS4,WS4a,16,0 to 20,0-20,5.6854,0.543,2.148,3.27,5.961,36.97,1.15,2.64,0.2,5.21,0.43,0.02781326918986228,0.0008651679623570902,0.007856714336612376,0.0005952056315615436,0.02360414288460091,0.0019481346334699408,5562.653837972456,173.03359247141802,1571.3428673224753,119.04112631230873,4720.828576920182,389.6269266939882,7133.996705294931,3.0043274928051464,0.6617368597067519,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
92,WS4,WS4a,16,20 to 40,20-40,5.6678,0.0456,1.8972,3.7661,5.7089,37.46,0.94,0.4,0.02,2.26,0.18,0.002660475413058217,6.676046151293977e-05,0.001181951731824835,5.9097586591241747e-05,0.013256440310628366,0.001055822679607569,532.0950826116434,13.352092302587955,236.390346364967,11.81951731824835,2651.288062125673,211.16453592151385,768.4854289766104,11.215720535526037,3.450017348613083,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
