AREA,PERIMETER,PLASS1,CLASS_LEVE,CLASS_CODE,CLASS_REFE,CLASS_SHOR,CLASS_LONG,CLASS_LO_1,CLASS_SET_,CLASS_STAT,CLASS_GEOG,PARENT_CLA,Shape_Length,Shape_Area
278707.3125,3825.65757,240.0,PVPA,240.0,DeMeo et al 093002,ACSA-FAGR,Sugar maple-American beech plant association,Acer saccharum-Fagus grandifolia,Mon ECS,Draft,Monongahela NF,24.0,3781.6125147191033,275179.13717906334
115701.98438,2073.07821,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,827.660072906879,37894.61928819387
288161.73438,7445.54449,210.0,PVPA,210.0,DeMeo et al 093002,TSCA,Eastern hemlock plant association,Tsuga canadensis,Mon ECS,Draft,Monongahela NF,21.0,1251.7654520782262,41730.84960840191
87496.53125,1652.67299,238.0, ,0.0, , , , , , , ,0.0,1653.8662793941442,87071.65348349689
33390.96875,813.28267,238.0, ,0.0, , , , , , , ,0.0,813.3186757839156,33392.692930608886
692583.6875,4311.90964,238.0, ,0.0, , , , , , , ,0.0,4218.550337286646,486818.099428119
741138.76563,4131.1394,239.0, ,0.0, , , , , , , ,0.0,4131.2680834457715,741177.0878947768
640319.04688,3912.70467,239.0, ,0.0, , , , , , , ,0.0,3912.84798994043,640352.528355766
198050.51563,1849.12082,211.0, ,0.0, , , , , , , ,0.0,1849.173543462438,198060.6795178576
102317.03125,1814.73843,239.0, ,0.0, , , , , , , ,0.0,1814.8099434841201,102322.4367277627
2356474.32813,10787.80836,239.0, ,0.0, , , , , , , ,0.0,3179.7251025613496,452123.0612973762
1419462.03125,7951.22887,239.0, ,0.0, , , , , , , ,0.0,7970.715545023381,1400732.532090478
106925.92188,1535.32056,239.0, ,0.0, , , , , , , ,0.0,1535.3489539759732,106931.51051812834
973214.14063,6249.64409,238.0, ,0.0, , , , , , , ,0.0,6486.27256518605,882298.3224597471
63136.125,1530.09158,239.0, ,0.0, , , , , , , ,0.0,1530.143952298128,63139.396101490755
852000.5625,6849.59633,239.0, ,0.0, , , , , , , ,0.0,6005.309700261502,558067.9015983123
140438.71875,1802.81249,239.0, ,0.0, , , , , , , ,0.0,1802.8508865623694,140446.01022756458
86805.3125,1316.01378,239.0, ,0.0, , , , , , , ,0.0,1316.069383172028,86809.79536278015
37306.70313,970.85839,239.0, ,0.0, , , , , , , ,0.0,969.2578269925,36807.31663883471
84839.21875,1481.30994,239.0, ,0.0, , , , , , , ,0.0,1481.3650566941287,84843.62691370978
160381.8125,1588.75213,211.0, ,0.0, , , , , , , ,0.0,889.1207963720043,5143.809182212199
29218.54688,753.50546,239.0, ,0.0, , , , , , , ,0.0,753.5383324324991,29220.06197530689
165499.10938,2240.33342,239.0, ,0.0, , , , , , , ,0.0,2186.7949900587428,154008.78957191925
66006.45313,1433.25601,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1399.9731033061605,59092.3774149237
34648.09375,1070.7554,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,184.4717811381294,884.5612489409784
