sample_id,watershed,soil_subcomp,soil_plot,subplot_letter,subplot,depth_code,depth_top_cm,depth_bottom_cm,depth,horizon,soil_dw_g,BD_gcm3,core_vol_cm3,core_area_m2,volsoil_area_cm3m2,wtsoil_area_gm2,fine_root_g,fine_root_gm2,soil_C_perc,soil_C_gm2,soil_N_perc,soil_N_gm2,soil_CN,treatment,bd_note
101,WS4,WS4a,17,C,17C,0-20,0.0,20.0,0 to 20,Mineral,250.02,0.653307029,392.69908169872417,0.001963495408493621,200000.0,130661.40580000001,0.3935,205.64460116110712,2.89,3776.1146276200006,0.24,313.58737392,12.041666666666668,Reference,"BD from one core per plot x depth, applied to all subplots"
102,WS4,WS4a,17,C,17C,20-40,20.0,40.0,20 to 40,Mineral,220.97,0.754939164,392.69908169872417,0.001963495408493621,200000.0,150987.8328,0.0268,18.312322573381003,0.89,1343.7917119200001,0.08,120.79026624000001,11.125,Reference,"BD from one core per plot x depth, applied to all subplots"
103,WS4,WS4a,18,A,18A,0-20,0.0,20.0,0 to 20,Mineral,260.3,0.759558499,392.69908169872417,0.001963495408493621,200000.0,151911.6998,0.7419,432.97460653714944,3.37,5119.42428326,0.21,319.01456958,16.047619047619047,Reference,"BD from one core per plot x depth, applied to all subplots"
104,WS4,WS4a,18,A,18A,20-40,20.0,40.0,20 to 40,Mineral,463.57,1.227352733,392.69908169872417,0.001963495408493621,200000.0,245470.5466,0.1922,101.77414210695257,1.25,3068.3818325,0.1,245.4705466,12.5,Reference,"BD from one core per plot x depth, applied to all subplots"
105,WS4,WS4a,18,B,18B,0-20,0.0,20.0,0 to 20,Mineral,260.3,0.759558499,392.69908169872417,0.001963495408493621,200000.0,151911.6998,0.4735,276.3357274502497,3.54,5377.67417292,0.2,303.8233996,17.7,Reference,"BD from one core per plot x depth, applied to all subplots"
106,WS4,WS4a,18,B,18B,20-40,20.0,40.0,20 to 40,Mineral,463.57,1.227352733,392.69908169872417,0.001963495408493621,200000.0,245470.5466,0.2355,124.70244779493926,0.94,2307.4231380399997,0.07,171.82938262000002,13.428571428571427,Reference,"BD from one core per plot x depth, applied to all subplots"
107,WS4,WS4a,18,C,18C,0-20,0.0,20.0,0 to 20,Mineral,260.3,0.759558499,392.69908169872417,0.001963495408493621,200000.0,151911.6998,0.3586,209.27981386200534,4.19,6365.100221620001,0.22,334.20573956000004,19.045454545454547,Reference,"BD from one core per plot x depth, applied to all subplots"
108,WS4,WS4a,18,C,18C,20-40,20.0,40.0,20 to 40,Mineral,463.57,1.227352733,392.69908169872417,0.001963495408493621,200000.0,245470.5466,0.2229,118.03046969635653,1.03,2528.34662998,0.08,196.37643728,12.875,Reference,"BD from one core per plot x depth, applied to all subplots"
109,WS5,WS5b,19,A,19A,0-20,0.0,20.0,0 to 20,Mineral,258.43,0.732720932,392.69908169872417,0.001963495408493621,200000.0,146544.1864,0.4904,278.0840808364354,2.55,3736.8767531999997,0.16,234.47069824000002,15.937499999999998,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
110,WS5,WS5b,19,A,19A,20-40,20.0,40.0,20 to 40,Mineral,469.31,1.293937657,392.69908169872417,0.001963495408493621,200000.0,258787.5314,0.1911,105.3766108766913,0.15,388.1812971,0.03,77.63625942,5.0,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
111,WS5,WS5b,19,B,19B,0-20,0.0,20.0,0 to 20,Mineral,258.43,0.732720932,392.69908169872417,0.001963495408493621,200000.0,146544.1864,0.0611,34.64709897860156,2.35,3443.7883804000003,0.14,205.16186096000004,16.785714285714285,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
112,WS5,WS5b,19,B,19B,20-40,20.0,40.0,20 to 40,Mineral,469.31,1.293937657,392.69908169872417,0.001963495408493621,200000.0,258787.5314,0.6535,360.35382107753935,0.53,1371.57391642,0.06,155.27251884,8.833333333333334,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
113,WS5,WS5b,19,C,19C,0-20,0.0,20.0,0 to 20,Mineral,258.43,0.732720932,392.69908169872417,0.001963495408493621,200000.0,146544.1864,0.1221,69.23749239422668,2.12,3106.73675168,0.13,190.50744232,16.307692307692307,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
114,WS5,WS5b,19,C,19C,20-40,20.0,40.0,20 to 40,Mineral,469.31,1.293937657,392.69908169872417,0.001963495408493621,200000.0,258787.5314,0.0026,1.4336953860774329,0.68,1759.75521352,0.07,181.15127198000002,9.714285714285714,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
115,WS5,WS5b,20,A,20A,0-20,0.0,20.0,0 to 20,Mineral,222.01,0.629460102,392.69908169872417,0.001963495408493621,200000.0,125892.02040000001,0.1784,101.16272437890186,2.9,3650.8685916,0.19,239.19483876,15.26315789473684,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
116,WS5,WS5b,20,A,20A,20-40,20.0,40.0,20 to 40,Mineral,314.59,1.074789843,392.69908169872417,0.001963495408493621,200000.0,214957.9686,0.1308,89.37506688985664,0.76,1633.68056136,0.08,171.96637488,9.5,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
117,WS5,WS5b,20,B,20B,0-20,0.0,20.0,0 to 20,Mineral,222.01,0.629460102,392.69908169872417,0.001963495408493621,200000.0,125892.02040000001,0.4319,244.91132656528987,3.1,3902.6526324,0.24,302.14084895999997,12.916666666666668,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
118,WS5,WS5b,20,B,20B,20-40,20.0,40.0,20 to 40,Mineral,314.59,1.074789843,392.69908169872417,0.001963495408493621,200000.0,214957.9686,0.2035,139.05065834928,0.81,1741.1595456600003,0.09,193.46217174,9.000000000000002,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
119,WS5,WS5b,20,C,20C,0-20,0.0,20.0,0 to 20,Mineral,222.01,0.629460102,392.69908169872417,0.001963495408493621,200000.0,125892.02040000001,0.2336,132.46419515084906,3.12,3927.8310364800004,0.22,276.96244488,14.181818181818182,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
120,WS5,WS5b,20,C,20C,20-40,20.0,40.0,20 to 40,Mineral,314.59,1.074789843,392.69908169872417,0.001963495408493621,200000.0,214957.9686,0.0041,2.80151203553832,0.59,1268.2520147399998,0.08,171.96637488,7.374999999999999,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
121,WS5,WS5b,21,A,21A,0-20,0.0,20.0,0 to 20,Mineral,347.93,0.93354134,392.69908169872417,0.001963495408493621,200000.0,186708.268,0.3792,203.48856156583219,1.7,3174.0405560000004,0.13,242.7207484,13.076923076923077,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
122,WS5,WS5b,21,A,21A,20-40,20.0,40.0,20 to 40,Mineral,347.83,1.077877254,392.69908169872417,0.001963495408493621,200000.0,215575.4508,0.1001,62.03922210585631,0.6,1293.4527048,0.07,150.90281556000002,8.571428571428571,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
123,WS5,WS5b,21,B,21B,0-20,0.0,20.0,0 to 20,Mineral,347.93,0.93354134,392.69908169872417,0.001963495408493621,200000.0,186708.268,0.8065,432.7888314948409,2.39,4462.3276052,0.17,317.40405560000005,14.058823529411764,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
124,WS5,WS5b,21,B,21B,20-40,20.0,40.0,20 to 40,Mineral,347.83,1.077877254,392.69908169872417,0.001963495408493621,200000.0,215575.4508,0.1324,82.05787219595778,0.8,1724.6036064,0.08,172.46036064,10.0,Single-tree selection,"BD from one core per plot x depth, applied to all subplots"
