ID,watershed,subcomp,plot,subplot,depth,horizon,fine_root_gm2,soil_C_gm2,soil_N_gm2,soil_CN,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC.hPOC,MAOC.tot_POC
53,WS2,WS2b,9,9C,0 to 20,Mineral,510.5459318,11134.7288,634.7158111,17.54285714,,,,,,,,,,,,,,,
54,WS2,WS2b,9,9C,20 to 40,Mineral,118.2962026,2749.513057,132.3295054,20.77777778,,,,,,,,,,,,,,,
55,WS2,WS2a,10,10A,0 to 20,Mineral,113.4111261,2633.14777,177.6970888,14.81818182,0.009158178,0.000304227,0.003478311,0.000190072,0.021640483,0.001450759,1831.635585,60.84542867,695.662112,38.01432306,4328.0966,290.1517274,2527.297697,6.221549982,1.712539289
56,WS2,WS2a,10,10A,20 to 40,Mineral,70.226627,2061.043032,187.3675483,11,0.00322809,8.96E-05,0.00110749,7.38E-05,0.008500817,0.000794469,645.6179232,17.92957442,221.4979328,14.76652885,1700.163473,158.8937825,867.115856,7.675753228,1.960710856
57,WS2,WS2a,10,10B,0 to 20,Mineral,220.5846402,7673.28338,452.3198624,16.96428571,,,,,,,,,,,,,,,
58,WS2,WS2a,10,10B,20 to 40,Mineral,39.25086955,2706.420142,208.1861648,13,,,,,,,,,,,,,,,
59,WS2,WS2a,10,10C,0 to 20,Mineral,197.2786538,2164.673627,161.542808,13.4,,,,,,,,,,,,,,,
60,WS2,WS2a,10,10C,20 to 40,Mineral,168.7451913,8369.083825,458.0095626,18.27272727,,,,,,,,,,,,,,,
61,WS2,WS2a,11,11A,0 to 20,Mineral,402.9497307,3710.572745,201.532705,18.41176471,0.003744217,9.47E-05,0.002758737,0.000127719,0.006781132,0.000391219,748.8434678,18.93088777,551.7473494,25.54385877,1356.226467,78.24383466,1300.590817,2.45805706,1.042777213
62,WS2,WS2a,11,11A,20 to 40,Mineral,59.23321838,2068.874354,132.0558098,15.66666667,0.00458605,8.97E-05,0.001126498,8.05E-05,0.005789693,0.000513011,917.210033,17.9329386,225.2996302,16.09283073,1157.938518,102.6021472,1142.509663,5.13954913,1.013504354
63,WS2,WS2a,11,11B,0 to 20,Mineral,336.6042219,4623.39735,237.0973,19.5,,,,,,,,,,,,,,,
64,WS2,WS2a,11,11B,20 to 40,Mineral,4.405776574,3521.488262,198.0837148,17.77777778,,,,,,,,,,,,,,,
65,WS2,WS2a,11,11C,0 to 20,Mineral,466.8001946,4504.8487,272.661895,16.52173913,,,,,,,,,,,,,,,
66,WS2,WS2a,11,11C,20 to 40,Mineral,251.1292647,3939.664994,264.1116197,14.91666667,,,,,,,,,,,,,,,
67,WS2,WS2a,12,12A,0 to 20,Mineral,151.4241988,2002.48646,148.3323304,13.5,0.008035837,0.000157875,0.013989997,0.00090258,0.024650102,0.001922708,1607.167468,31.57499938,2797.999404,180.5160906,4930.02035,384.5415873,4405.166872,1.761980486,1.119144971
68,WS2,WS2a,12,12A,20 to 40,Mineral,215.9161703,1430.279876,120.8687219,11.83333333,0.003029315,7.81E-05,0.000689426,3.83E-05,0.006886131,0.000573844,605.8630587,15.62742016,137.8852928,7.660294042,1377.226297,114.7688581,743.7483514,9.988203018,1.851736941
69,WS2,WS2a,12,12B,0 to 20,Mineral,393.9500084,1372.074056,111.2492478,12.33333333,,,,,,,,,,,,,,,
70,WS2,WS2a,12,12B,20 to 40,Mineral,330.4643717,1732.45168,141.0135089,12.28571429,,,,,,,,,,,,,,,
71,WS2,WS2a,12,12C,0 to 20,Mineral,465.7677288,6600.788703,296.6646608,22.25,,,,,,,,,,,,,,,
72,WS2,WS2a,12,12C,20 to 40,Mineral,194.0489666,3041.862834,141.0135089,21.57142857,,,,,,,,,,,,,,,
73,WS4,WS4a,13,13A,0 to 20,Mineral,438.9208448,6668.470542,395.8452833,16.84615385,0.00421598,0.000111445,0.000646945,5.39E-05,0.003013968,0.000235466,843.1959563,22.28908158,129.3889441,10.78241201,602.7936272,47.09325212,972.5849004,4.658772288,0.619785097
74,WS4,WS4a,13,13A,20 to 40,Mineral,110.6510115,2014.905896,129.9939288,15.5,0.00218363,4.34E-05,0.000901904,6.01E-05,0.00520099,0.000407921,436.7260127,8.686040031,180.3807768,12.02538512,1040.198015,81.58415801,617.1067895,5.766678872,1.685604554
75,WS4,WS4a,13,13B,0 to 20,Mineral,113.1059144,6333.524533,385.6954043,16.42105263,,,,,,,,,,,,,,,
76,WS4,WS4a,13,13B,20 to 40,Mineral,65.42182693,3087.355809,194.9908932,15.83333333,,,,,,,,,,,,,,,
77,WS4,WS4a,13,13C,0 to 20,Mineral,850.7301595,4303.548721,304.4963718,14.13333333,,,,,,,,,,,,,,,
78,WS4,WS4a,13,13C,20 to 40,Mineral,67.52279551,1169.945359,113.7446877,10.28571429,,,,,,,,,,,,,,,
79,WS4,WS4a,14,14A,0 to 20,Mineral,266.5311331,5939.298585,258.2303732,23,0.001801091,4.81E-05,0.002946368,0.000167679,0.015118993,0.001381631,360.2181916,9.611271647,589.2736346,33.5358979,3023.798518,276.3262353,949.4918262,5.131399642,3.18464934
80,WS4,WS4a,14,14A,20 to 40,Mineral,3.441893462,1258.84341,133.513695,9.428571429,0.003014376,5.37E-05,0.001718972,0.000117203,0.00976681,0.000924668,602.8752847,10.73823662,343.7943287,23.44052241,1953.361944,184.9336751,946.6696134,5.681774773,2.063404081
81,WS4,WS4a,14,14B,0 to 20,Mineral,404.1878255,4008.719127,209.0436355,19.17647059,,,,,,,,,,,,,,,
82,WS4,WS4a,14,14B,20 to 40,Mineral,72.49157153,2174.36589,152.58708,14.25,,,,,,,,,,,,,,,
83,WS4,WS4a,14,14C,0 to 20,Mineral,170.9986139,4033.312496,209.0436355,19.29411765,,,,,,,,,,,,,,,
84,WS4,WS4a,14,14C,20 to 40,Mineral,135.4517458,1964.558655,152.58708,12.875,,,,,,,,,,,,,,,
85,WS4,WS4a,15,15A,0 to 20,Mineral,302.2891581,5652.972682,386.7823414,14.61538462,0.003517153,0.000116574,0.01443017,0.000878358,0.011887461,0.001057375,703.4306597,23.31484056,2886.033999,175.6716347,2377.492266,211.4750533,3589.464659,0.823792189,0.662352883
86,WS4,WS4a,15,15A,20 to 40,Mineral,102.3146798,1730.673849,124.50891,13.9,0.001543648,3.68E-05,0.001773056,0.000124425,0.005426901,0.000467836,308.7295185,7.356541347,354.6111402,24.8849923,1085.380134,93.56725291,663.3406587,3.060761523,1.636233389
87,WS4,WS4a,15,15B,0 to 20,Mineral,164.8749695,2350.446536,208.2674146,11.28571429,,,,,,,,,,,,,,,
88,WS4,WS4a,15,15B,20 to 40,Mineral,NA,896.464152,87.156237,10.28571429,,,,,,,,,,,,,,,
89,WS4,WS4a,15,15C,0 to 20,Mineral,470.9137924,5980.250048,431.4110731,13.86206897,,,,,,,,,,,,,,,
90,WS4,WS4a,15,15C,20 to 40,Mineral,155.0951081,2851.254039,236.566929,12.05263158,,,,,,,,,,,,,,,
91,WS4,WS4a,16,16A,0 to 20,Mineral,261.9251185,10980.6123,724.6889036,15.15217391,0.027813269,0.000865168,0.007856714,0.000595206,0.023604143,0.001948135,5562.653838,173.0335925,1571.342867,119.0411263,4720.828577,389.6269267,7133.996705,3.004327493,0.66173686
92,WS4,WS4a,16,16A,20 to 40,Mineral,29.23847927,7097.365966,459.0336197,15.46153846,0.002660475,6.68E-05,0.001181952,5.91E-05,0.01325644,0.001055823,532.0950826,13.3520923,236.3903464,11.81951732,2651.288062,211.1645359,768.485429,11.21572054,3.450017349
93,WS4,WS4a,16,16B,0 to 20,Mineral,497.4371566,4489.920381,283.5739188,15.83333333,,,,,,,,,,,,,,,
94,WS4,WS4a,16,16B,20 to 40,Mineral,6.127824997,1942.065314,176.5513922,11,,,,,,,,,,,,,,,
95,WS4,WS4a,16,16C,0 to 20,Mineral,150.2623048,6049.576934,456.8690914,13.24137931,,,,,,,,,,,,,,,
96,WS4,WS4a,16,16C,20 to 40,Mineral,8.637315234,2559.995187,194.2065314,13.18181818,,,,,,,,,,,,,,,
97,WS4,WS4a,17,17A,0 to 20,Mineral,432.5069172,9512.150342,614.1086073,15.4893617,0.00534165,0.000125587,0.000369829,6.72E-05,0.011827733,0.000790543,1068.32994,25.11747507,73.96588778,13.44834323,2365.546684,158.1085187,1142.295827,31.98158982,2.070870458
98,WS4,WS4a,17,17A,20 to 40,Mineral,32.52487144,1660.866161,120.7902662,13.75,0.002047099,3.66E-05,0.002388771,0.000144774,0.004009227,0.000389245,409.4198502,7.320972667,477.7541855,28.95479912,801.8454865,77.84907636,887.1740357,1.678364127,0.90381983
99,WS4,WS4a,17,17B,0 to 20,Mineral,104.938846,8571.38822,548.7779044,15.61904762,,,,,,,,,,,,,,,
100,WS4,WS4a,17,17B,20 to 40,Mineral,0.546562291,5556.352247,347.2720154,16,,,,,,,,,,,,,,,
101,WS4,WS4a,17,17C,0 to 20,Mineral,205.6446012,3776.114628,313.5873739,12.04166667,,,,,,,,,,,,,,,
102,WS4,WS4a,17,17C,20 to 40,Mineral,18.31232257,1343.791712,120.7902662,11.125,,,,,,,,,,,,,,,
103,WS4,WS4a,18,18A,0 to 20,Mineral,432.9746065,5119.424283,319.0145696,16.04761905,0.005448356,0.000151422,0.002264959,0.000143807,0.010939827,0.000892255,1089.671168,30.28436753,452.9918713,28.76138865,2187.965465,178.451084,1542.663039,4.83003251,1.418304198
104,WS4,WS4a,18,18A,20 to 40,Mineral,101.7741421,3068.381833,245.4705466,12.5,0.002123906,4.72E-05,0.000597547,9.96E-05,0.003914638,0.000499741,424.7812067,9.432671989,119.5094724,19.9182454,782.927689,99.94821562,544.2906791,6.551176852,1.438436701
105,WS4,WS4a,18,18B,0 to 20,Mineral,276.3357275,5377.674173,303.8233996,17.7,,,,,,,,,,,,,,,
106,WS4,WS4a,18,18B,20 to 40,Mineral,124.7024478,2307.423138,171.8293826,13.42857143,,,,,,,,,,,,,,,
107,WS4,WS4a,18,18C,0 to 20,Mineral,209.2798139,6365.100222,334.2057396,19.04545455,,,,,,,,,,,,,,,
108,WS4,WS4a,18,18C,20 to 40,Mineral,118.0304697,2528.34663,196.3764373,12.875,,,,,,,,,,,,,,,
109,WS5,WS5b,19,19A,0 to 20,Mineral,278.0840808,3736.876753,234.4706982,15.9375,0.003377827,9.75E-05,0.005763328,0.000399,0.00837758,0.000681566,675.5653471,19.50639015,1152.665565,79.79992371,1675.516037,136.3131691,1828.230912,1.45360119,0.916468497
110,WS5,WS5b,19,19A,20 to 40,Mineral,105.3766109,388.1812971,77.63625942,5,NA,NA,0.00107255,0.000189273,0.004712736,0.000516464,NA,NA,214.5099513,37.8546973,942.5472952,103.2928543,214.5099513,4.393956035,4.393956035
111,WS5,WS5b,19,19B,0 to 20,Mineral,34.64709898,3443.78838,205.161861,16.78571429,,,,,,,,,,,,,,,
112,WS5,WS5b,19,19B,20 to 40,Mineral,360.3538211,1371.573916,155.2725188,8.833333333,,,,,,,,,,,,,,,
113,WS5,WS5b,19,19C,0 to 20,Mineral,69.23749239,3106.736752,190.5074423,16.30769231,,,,,,,,,,,,,,,
114,WS5,WS5b,19,19C,20 to 40,Mineral,1.433695386,1759.755214,181.151272,9.714285714,,,,,,,,,,,,,,,
115,WS5,WS5b,20,20A,0 to 20,Mineral,101.1627244,3650.868592,239.1948388,15.26315789,0.003064475,7.24E-05,0.002409061,0.000146004,0.007866682,0.000725568,612.8949808,14.48722841,481.8122172,29.20074044,1573.336456,145.1135566,1094.707198,3.26545571,1.437221258
116,WS5,WS5b,20,20A,20 to 40,Mineral,89.37506689,1633.680561,171.9663749,9.5,NA,NA,0.000556609,0.000111322,0.005221827,0.000556995,NA,NA,111.3217457,22.26434914,1044.365387,111.3989746,111.3217457,9.38150386,9.38150386
117,WS5,WS5b,20,20B,0 to 20,Mineral,244.9113266,3902.652632,302.140849,12.91666667,,,,,,,,,,,,,,,
118,WS5,WS5b,20,20B,20 to 40,Mineral,139.0506583,1741.159546,193.4621717,9,,,,,,,,,,,,,,,
119,WS5,WS5b,20,20C,0 to 20,Mineral,132.4641952,3927.831036,276.9624449,14.18181818,,,,,,,,,,,,,,,
120,WS5,WS5b,20,20C,20 to 40,Mineral,2.801512036,1268.252015,171.9663749,7.375,,,,,,,,,,,,,,,
121,WS5,WS5b,21,21A,0 to 20,Mineral,203.4885616,3174.040556,242.7207484,13.07692308,0.004211634,0.000119737,0.005267089,0.000258507,0.021471674,0.001478765,842.3267665,23.94748533,1053.417708,51.70148261,4294.334861,295.7530896,1895.744475,4.07657364,2.265249836
122,WS5,WS5b,21,21A,20 to 40,Mineral,62.03922211,1293.452705,150.9028156,8.571428571,0.002533217,6.14E-05,0.000996371,7.38E-05,0.007429703,0.000555492,506.6433441,12.27606286,199.2741677,14.76104946,1485.940683,111.0983688,705.9175118,7.456765221,2.104977789
123,WS5,WS5b,21,21B,0 to 20,Mineral,432.7888315,4462.327605,317.4040556,14.05882353,,,,,,,,,,,,,,,
